Module	Module_description	Pathway	Pathway_description	Cycle	Pathway_cycle	Detail_cycle	Genes	Gene_description	Enzyme	KO	rbims_pathway	rbims_sub_pathway	Bin_10	Bin_12	Bin_56	Bin_113	Bin_1	Bin_2
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01100	Metabolic pathways	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01100	Metabolic pathways	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00009	Citrate cycle (TCA cycle, Krebs cycle)	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Central metabolism	TCA cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00173	Reductive citrate cycle (Arnon-Buchanan cycle)	map01110	Biosynthesis of secondary metabolites	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	Reductive citrate cycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	Reductive citrate cycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Carbon Fixation	3-hydroxypropionate bicycle	0	1	0	0	0	0
M00376	3-Hydroxypropionate bi-cycle	map01110	Biosynthesis of secondary metabolites	Carbon fixation	3-hydroxypropionate bicycle	E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]	E4.2.1.2B, fumC, FH	fumarate hydratase, class II [EC:4.2.1.2]	ec:4.2.1.2	K01679	Fermentation	Mixed acid: succinate (phosphoenolpyruvate to succinate via oxaloacetate, malate & fumarate)	0	1	0	0	0	0
