# gene name                                                                       KO     thrshld  score   E-value KO definition
#-------------------------------------------------------------------------------- ------ ------- ------ --------- ---------------------
* B113_G9_Unknown-B113_Guay9_scaffold_98153_152_B113_G9_Idunnarchaeota.fna_152_3  K02996  106.83  128.2     2e-38 small subunit ribosomal protein S9
* B113_G9_Unknown-B113_Guay9_scaffold_98153_152_B113_G9_Idunnarchaeota.fna_152_4  K02871   76.90   76.9   8.7e-23 large subunit ribosomal protein L13
* B113_G9_Unknown-B113_Guay9_scaffold_98153_152_B113_G9_Idunnarchaeota.fna_152_5  K02883   44.83   97.8     3e-29 large subunit ribosomal protein L18e
* B113_G9_Unknown-B113_Guay9_scaffold_101058_153_B113_G9_Idunnarchaeota.fna_153_3 K12234  169.90  240.9   1.4e-72 coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]
* B113_G9_Unknown-B113_Guay9_scaffold_101256_154_B113_G9_Idunnarchaeota.fna_154_2 K04796   80.23   90.5   2.4e-27 small nuclear ribonucleoprotein
* B113_G9_Unknown-B113_Guay9_scaffold_101256_154_B113_G9_Idunnarchaeota.fna_154_3 K02922   52.20   81.9   2.4e-24 large subunit ribosomal protein L37e
* B113_G9_Unknown-B113_Guay9_scaffold_102433_156_B113_G9_Idunnarchaeota.fna_156_1 K01937  118.67  465.9  1.2e-140 CTP synthase [EC:6.3.4.2]
* B113_G9_Unknown-B113_Guay9_scaffold_102681_157_B113_G9_Idunnarchaeota.fna_157_1 K16150  288.27  309.4   2.6e-93 glycogen synthase [EC:2.4.1.11]
* B113_G9_Unknown-B113_Guay9_scaffold_102681_157_B113_G9_Idunnarchaeota.fna_157_2 K00965   90.60  201.0     2e-60 UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]
* B113_G9_Unknown-B113_Guay9_scaffold_102827_159_B113_G9_Idunnarchaeota.fna_159_1 K07332  385.67  599.3  4.9e-181 archaeal flagellar protein FlaI
* B113_G9_Unknown-B113_Guay9_scaffold_102827_159_B113_G9_Idunnarchaeota.fna_159_2 K07333  100.80  143.1   4.7e-43 archaeal flagellar protein FlaJ
* B113_G9_Unknown-B113_Guay9_scaffold_103626_160_B113_G9_Idunnarchaeota.fna_160_2 K03593  121.83  369.6  1.2e-111 ATP-binding protein involved in chromosome partitioning
* B113_G9_Unknown-B113_Guay9_scaffold_104652_161_B113_G9_Idunnarchaeota.fna_161_2 K02319  554.83  775.2  4.1e-234 DNA polymerase, archaea type [EC:2.7.7.7]
* B113_G9_Unknown-B113_Guay9_scaffold_104819_162_B113_G9_Idunnarchaeota.fna_162_1 K02984   89.13   99.2   1.2e-29 small subunit ribosomal protein S3Ae
* B113_G9_Unknown-B113_Guay9_scaffold_104819_162_B113_G9_Idunnarchaeota.fna_162_3 K07462   64.13  174.3   1.9e-52 single-stranded-DNA-specific exonuclease [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_104819_162_B113_G9_Idunnarchaeota.fna_162_4 K02956   22.23   23.8   1.6e-06 small subunit ribosomal protein S15
* B113_G9_Unknown-B113_Guay9_scaffold_105101_163_B113_G9_Idunnarchaeota.fna_163_3 K01439  270.47  280.6   1.3e-84 succinyl-diaminopimelate desuccinylase [EC:3.5.1.18]
* B113_G9_Unknown-B113_Guay9_scaffold_106147_164_B113_G9_Idunnarchaeota.fna_164_1 K09116  109.97  162.4   6.6e-49 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_106147_164_B113_G9_Idunnarchaeota.fna_164_2 K03049  177.20  234.5     3e-71 DNA-directed RNA polymerase subunit E' [EC:2.7.7.6]
* B113_G9_Unknown-B113_Guay9_scaffold_106147_164_B113_G9_Idunnarchaeota.fna_164_3 K07442   95.97  302.1     3e-91 tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]
* B113_G9_Unknown-B113_Guay9_scaffold_106504_166_B113_G9_Idunnarchaeota.fna_166_1 K01939   95.03  183.5   2.8e-55 adenylosuccinate synthase [EC:6.3.4.4]
* B113_G9_Unknown-B113_Guay9_scaffold_106504_166_B113_G9_Idunnarchaeota.fna_166_3 K01756  293.90  389.5  1.4e-117 adenylosuccinate lyase [EC:4.3.2.2]
* B113_G9_Unknown-B113_Guay9_scaffold_106682_167_B113_G9_Idunnarchaeota.fna_167_3 K09741   43.97   86.1   6.4e-26 KEOPS complex subunit Pcc1
* B113_G9_Unknown-B113_Guay9_scaffold_106682_167_B113_G9_Idunnarchaeota.fna_167_5 K02921   27.37   58.0   6.1e-17 large subunit ribosomal protein L37Ae
* B113_G9_Unknown-B113_Guay9_scaffold_107572_169_B113_G9_Idunnarchaeota.fna_169_2 K03390  126.97  127.2   3.4e-38 heterodisulfide reductase subunit C2 [EC:1.8.7.3 1.8.98.4 1.8.98.5 1.8.98.6]
* B113_G9_Unknown-B113_Guay9_scaffold_107572_169_B113_G9_Idunnarchaeota.fna_169_4 K14126  614.83  644.3  5.4e-195 F420-non-reducing hydrogenase large subunit [EC:1.12.99.- 1.8.98.5]
* B113_G9_Unknown-B113_Guay9_scaffold_109287_170_B113_G9_Idunnarchaeota.fna_170_3 K01588  120.13  191.6   8.1e-58 5-(carboxyamino)imidazole ribonucleotide mutase [EC:5.4.99.18]
* B113_G9_Unknown-B113_Guay9_scaffold_109533_171_B113_G9_Idunnarchaeota.fna_171_1 K09116  109.97  184.3   1.4e-55 uncharacterized protein
* B113_G9_Unknown-B113_Guay9_scaffold_109650_172_B113_G9_Idunnarchaeota.fna_172_1 K07325   50.77  111.7   1.6e-33 archaeal flagellin FlaB
* B113_G9_Unknown-B113_Guay9_scaffold_109650_172_B113_G9_Idunnarchaeota.fna_172_3 K07330   75.50  115.1   1.4e-34 archaeal flagellar protein FlaG
* B113_G9_Unknown-B113_Guay9_scaffold_111287_174_B113_G9_Idunnarchaeota.fna_174_1 K03531  139.83  242.7   2.8e-73 cell division protein FtsZ
* B113_G9_Unknown-B113_Guay9_scaffold_111287_174_B113_G9_Idunnarchaeota.fna_174_4 K07060   80.80  135.9   4.5e-41 endoribonuclease Nob1 [EC:3.1.-.-]
* B113_G9_Unknown-B113_Guay9_scaffold_111287_174_B113_G9_Idunnarchaeota.fna_174_5 K00858   38.97   75.4   1.8e-22 NAD+ kinase [EC:2.7.1.23]
